ogno,ogtype,ogname,ogcity,ogstate,ogpin,ogadd
27,Ortho Hospital,A V M Orthopaedic Hospital,Sabar kantha,Gujarat,383001,Umiya House Opp Arogaynagar Near Bus Stand Himmatnagar
28,Hospital,A Y Medical and Research Institute,Samastipur,Bihar,848101,Mathurapur
29,Nurshing Home,A. B. Nursing Home,Hooghly,West Bengal,712104,"Link Road, Natun Bazar, Arambagh, Hooghly"
30,Nurshing Home,A. G. Nursing Home,Tiruvallur,Tamil Nadu,602024,"No. 159, M. T. H. Road, Thiruninravur"
31,Hospital,A. G. Padmavatis Hospital - Puducherry,Puducherry,Puducherry,605110,"R.S. No. 127 / 1A / 1A / Ia / 1, Villiyanoor Main Road Arumbarthapuram"
32,Hospital,A. J. Hospital and Research Centre,Dakshina Kannada,Karnataka,575004,"E4-Ga/30/9798. Nh 17, Opp Ksrtc Depot"
33,Hospital,A. V. Medical Centre,Meerut,Uttar Pradesh,250110,"R-92, Pallav Puram,Phase-2, Opp-Water Tank, Modipuram, Meerut"
34,Hospital,A.A.Rahim Memorial District Hospital,Kollam,Kerala,691001,"Kollam, Kerala."
35,Hospital,A.C. Hospital,Chennai,Tamil Nadu,600023,"8, Iii Main Road,Undited India Nagar, Joint Office,Ayanavaram."
36,Hospital,A.E.Kalsekar Hospital,Mumbai,Maharashtra,400061,"60,Fisheries University Road Anjuman Complex, Yari Road,Versova,Andheri(W)"
37,Hospital,A.G Hospital,Kanchipuram,Tamil Nadu,600045,"29, Kakkan Street, Tambaram West, Chennai"
38,Hospital,A.G.P Hospital,Salem,Tamil Nadu,636007,"B-31A-1,Rajaram Nagar,Salem -"
39,Hospital,A.G.Padmavati's Hospital Ltd.,Puducherry,Puducherry,605005,"No.12, Victoriya Nagar,Ellaipillaichavady"
40,Hospital,A.J.Hospital,Kanniyakumari,Tamil Nadu,629703,",Mission Compound,."
41,Hospital,A.J.Hospital,Tirunelveli,Tamil Nadu,627002,"80,Trivandrum Road,Palayamkottai-"
42,Hospital,A.K. Hospital,Bhopal,Madhya Pradesh,462003,"Block-7, Sanjay Complex, Near Mata Mandir, Bhopal"
43,Hospital,A.K. Hospital,Chennai,Tamil Nadu,600029,"360, P.H. Road,Jn Of P.H. Road And, Nelson Manickam Road, Aminjikarai,"
44,Hospital,A.M. Hospital,Bengaluru Urban,Karnataka,560040,"No.20/1, 2Nd Cross, Widia Layout, Chandra Layout Main Road,Vijayanagar,"
45,Hospital,A.M.Hospital(Azra Memorial Hospital),Lucknow,Uttar Pradesh,226003,"Waterworks Road,Aishbagh,"
46,Hospital,A.N.N Hospital,Tiruvallur,Tamil Nadu,600087,"81-85,Annai Therasa Street,Indira, Nagar,Valasaravakkam,"
47,Hospital,A.N.N.Hospital,Chennai,Tamil Nadu,600087,"No.81-85, Annai Therasa Street, Indira Nagar"
48,Hospital,A.P. Hospital,Amritsar,Punjab,143001,"Ajit Nagar Extension, Near Water Tank, Amritsar"
49,Hospital,A.P.Varkey Mission Hospital,Ernakulam,Kerala,682313,Arakkunnam P.O. Thottappady
50,Hospital,A.R. Hospital (P) Ltd,Madurai,Tamil Nadu,625020,"609, K.K. Nagar,."
51,Nurshing Home,A.S. Nursing Home,Ariyalur,Tamil Nadu,621704,"27-E Pattunoolkara Street, Ariyalur"
52,Hospital,A.S.A Hospital,Vellore,Tamil Nadu,632009,"Sathuvachari,Vellore-"
53,Nurshing Home,A.S.D. Nursing Home,Coimbatore,Tamil Nadu,642001,"91/1, Coimbatore Road Pollachi"
54,Nurshing Home,A.S.D.Nursing Home,Coimbatore,Tamil Nadu,642002,Near Mahalinapuram Arch
55,Nurshing Home,A.S.Nursing Home,Patna,Bihar,800008,Jeetu Lal Lain Nala Par  City
56,Hospital,A.V. Hospital-Chennai,Chennai,Tamil Nadu,600021,"172, Solaiappan Stree, Near Maharani Theatre"
57,Hospital,A.V.M.Medicals ENT Research Foundation Pvt Ltd,Chennai,Tamil Nadu,600004,"No.3, Behind Nilgiris Department Stores, Off Dr.Radhakrishnan Road, P S Sivaswamy Salai, CIT Colony"
58,Hospital,Aabu Tayshete Memorial Hospital,Sindhudurg,Maharashtra,416602,"243, Teli Ali Stree Kankavli Sindhudurg"
59,Hospital,Aachal Hospital,Ganganagar,Rajasthan,335001,"3-B-4, Jawahar Nagar, Near Partap Kesri Office, Sri Ganganagar"
60,Hospital,Aachaman Hospital and Research Center,Varanasi,Uttar Pradesh,221003,"S.1/3 A, 12-13, Ramashankar Nagar Colony, Shivpur Purani Chungi"
61,Hospital,Aadarsh Hospital,Jamnagar,Gujarat,361008,"Walkeshwari Nagari Phase-2, Near Sat Rasta Circle, Indira Marg"
62,Nurshing Home,Aadarsh Nursing Home,Nawada,Bihar,805110,Purani Jail Road
63,Hospital,Aadhar Hospital,Vadodara,Gujarat,390007,"Near Kashi Vishweshwar Temple, Jetalpur Char Rasta, Alkapuri"
64,Hospital,Aadhar Hospital,Belagavi,Karnataka,590001,"Court Road, Chaval Calti"
65,Nurshing Home,Aadhar Nursing Home,Kolhapur,Maharashtra,416012,2811/K B Ward Belbaug Mangalwarpet Kolhapur
66,Hospital,Aadit Hospital,Valsad,Gujarat,396191,"Farhin Party Plot, Old Custom Rd,Near Gold Coin Circle, Chala Vapi"
67,Nurshing Home,Aadit Nursing Home,Vadodara,Gujarat,390007,"2, Santoor Park, B/H Mother`S School, Makrand Desai Road, Gotri Road"
68,MultiSpeciality Hosp,Aaditya Multi Speciality Hospital,Pune,Maharashtra,411017,"Near Sitara Garden Hotel, Nakhate Chowk, Rahatni"
69,Hospital,Aadya Hospital,Indore,Madhya Pradesh,452001,"Aadya Hospital, Indore, Madhya Pradesh."
70,Hospital,Aadya Lens Implantation Center,Ahmedabad,Gujarat,380015,"125, Sillicon Valley,Shivranjani Char Rasta,Sateliite Road"
71,Nurshing Home,Aadya Nursing Home,Dehradun,Uttarakhand,248001,"35/1, Ec Road, (Rawal Nursing Home), Dehradun"
72,Hospital,Aagam Hospital,Anand,Gujarat,388001,"Opposite Arya Samaj Shopping Centre, Ishwar Petlikar Marg"
73,Hospital,Aagaman Hospital and Prasuti Gruh,Bhavnagar,Gujarat,364710,"B/H - Rokadiya Hanuman, Nr - Sanjay Hospital, Paliyad Road, Botad"
74,Hospital,Aagman Hospitac,Junagadh,Gujarat,362720,"The New Arrival Near Railway Crossing Amrutnagar,Kodinar"
75,Nurshing Home,Aai Maternity Hospital and Nursing Home,Jalna,Maharashtra,431203,"Reg. No-55/Chj/2007, 8, Bhagyoday Nagar Ambad Road, Jalna"
76,Hospital,Aakanksha Hospital,Surat,Gujarat,395009,"126, Aradhna Nagar, Sabzi Market, Anand Mahal Road, Adajan"
77,Nurshing Home,Aakanksha Nursing Home,Barabanki,Uttar Pradesh,225001,Bhitaria R S Ghat
78,Hospital,Aakar Hospital,Banas kantha,Gujarat,385535,"Opposite Gayatri Temple Highway, Banaskantha, Deesa"
79,Hospital,Aakar Hospital,Rajkot,Gujarat,360002,"Virani School Chowk, Ramkrishna Nagar Main Road, Opposite Comisuner Hospital"
80,Hospital,Aakash Hospital,Hisar,Haryana,125001,"Rishi Nagar, Near Bus Stand"
81,Hospital,Aakash Hospital,Solan,Himachal Pradesh,0,Nalagarh
82,Hospital,Aakash Hospital,Chennai,Tamil Nadu,600019,"Thiruvottriyur, No.393/1, T H Road"
83,Hospital,Aakash Hospital and Diagnostic,Solan,Himachal Pradesh,0,"OppositeRadhaswami Satsang Bhawan, Pinjore Road,"
84,Hospital,Aakash Hospital and Diagnostics,Solan,Himachal Pradesh,173205,"Opp Radha Swami Satsang Bhawan Rakh Ram Singh, Pinjore Road Nalagarh"
85,Hospital,Aakash Medicare,Ghaziabad,Uttar Pradesh,201012,"324, Sector 2B, Vasundhara, 2C/225"
86,Hospital,Aakashdeep Hospital and I.C.U,Thane,Maharashtra,400601,"Amar House, 1St Floor,Plot No.98,Sector - 7,Kopar Khairne,Main Road"
87,Nurshing Home,Aakriti Nursing Home,Faridabad,Haryana,121001,"5E-57, Bunglow Plot, B.K. Chowk, N.I.T"
88,Hospital,Aala Hospital,Jaunpur,Uttar Pradesh,222002,"Wajidpur, Jaunpur Near Jaycees Crossing"
89,Nurshing Home,Aalap Clinic and Surgical Nursing Home,Ahmedabad,Gujarat,380014,"11, Sundervan Society, Ashram Road, Opposite  Vidhyapith, Usmanpura"
90,Hospital,Aalok Hospital,Ahmedabad,Gujarat,380009,Ashram Road
91,Hospital,Aalok Hospital,Thane,Maharashtra,421301,"Gajanan Palace, Rambang Lane No. 4,Above Madhurima Sweets,"
92,Ortho Hospital,Aalok Orthocare Super Speciality Center,Ahmedabad,Gujarat,380013,"8, Vidyavihar Colony, Ashram Road,\nOpposite Hotel Fortune Landmark,\nUsmanpura"
93,Hospital,Aalor Disha,Medinipur East,West Bengal,721401,"Pahari Complex, School Bazar, Contai, Purba Medinipur"
94,Hospital,Aanand Hospital,Udham Singh Nagar,Uttarakhand,262308,Aanand Hospital Khatima Champawat
95,Hospital,Aanandlok Remedial Research Centre Pvt Ltd,Gorakhpur,Uttar Pradesh,273015,"Nathmalpur, Nh-29, Sonauli Road,Gorakhnath,Near Gorakhnath Temple."
96,Nurshing Home,Aanchal Nursing Home,Raipur,Chhattisgarh,492001,"Near Gurudwara, Mahavir Nagar, New Purena"
97,Hospital,Aanjney Research and Medicare Pvt.Ltd,Allahabad,Uttar Pradesh,211002,"8/8 Mayo Road, Kuchery Road(OppositePolice Line),"
98,Hospital,Aanvi Endoscopy And Surgery Centre,Bharuch,Gujarat,392001,"1St Floor, 112-117, Maruti Plaza Complex, Mmodi Compound,Panchbatti"
99,Hospital,Aapna Health Care Centre,West Champaran,Bihar,845453,"Bettiah Road, Lauria"
100,Hospital,Aar Pee Hospital,Faridabad,Haryana,121004,"1276-P, Sector 28, Faridabad, Delhi- NCR"
101,Hospital,Aaradhna Hospital,Kheda,Gujarat,387001,"Nana Kumbhnath Road, Nadiad"
102,Hospital,Aaram Hospital,Surat,Gujarat,395003,"Beside Diamond Jubilee Bank, Salabatpura, Main Road"
103,Nurshing Home,Aaram Nursing Home-Baroda,Vadodara,Gujarat,390001,"Behind Maharani School, Raopura"
104,Cardiac Hosp,Aarambh Heart and Medical Hospital,Ahmedabad,Gujarat,380013,"202-203, Aarambh Complex,Near Ankur Bus Stop, Naranpura"
105,MultiSpeciality Hosp,Aargyam Multi Speciality Clinical Care,Bokaro,Jharkhand,827001,"Plot No. 154, Co-Opporative"
106,Nurshing Home,Aarif Nursing Home,Visakhapatnam,Andhra Pradesh,530002,"10-36-8, Lane Beside, Royal Fort,Hotel Ramnagar,Opp . Gvmc Out Gate."
107,Hospital,Aarna Medical Hospital,Ahmedabad,Gujarat,382350,"107, Devraj Math,India Colony Road,Bapu Nagar"
108,Super Speciality Hospital,Aarna Super Speciality Hospital,Ahmedabad,Gujarat,380007,"Opposite Suvidha Shopping Centre, Near Parimal Under Bridge"
109,Hospital,Aarogya Health Care,Mumbai,Maharashtra,400080,"1St Floor,Ambe Maiya Appartments,Next To Gyan Sarita School,R.P.Roadulund(W)"
110,Hospital,Aarogya Hospital,Patna,Bihar,801103,"Post Office Rd, Bihta"
111,Hospital,Aarogya Hospital,Raipur,Chhattisgarh,492001,"Opposite Kuber Apartment,Near Ashok Tower Chowk,,Shankar Nagar"
112,Hospital,Aarogya Hospital,Panchkula,Haryana,134109,"1303- P, Sector-21, New Grain Market Road"
113,Hospital,Aarogya Hospital,Jaipur,Rajasthan,302001,"195 Gandhi Path, Queens Road"
114,Hospital,Aarogya Hospital,Hyderabad,Telangana,500001,"5-4-183 To 199, Twin City Market Complex,Moazam Jahi Market"
115,Hospital,Aarogya Hospital,Ghaziabad,Uttar Pradesh,201010,"Nh-1, Sctor-6, Vaishali,"
116,Hospital,Aarogya Niketan Hospital,Gautam Buddha Nagar,Uttar Pradesh,201301,"A-32, Sector-12, Near Post Office, Noida"
117,Hospital,Aarogya Niketan Hospital,Meerut,Uttar Pradesh,250002,"Ganj Bazar, Sardhana"
118,Ortho Hospital,Aarogya Orthopaedic and Trauma Clinic,Patna,Bihar,800003,Opposite Durga Temple Off Ram Krishna Avenue
119,Nurshing Home,Aarogyadham Nursing Home,Raipur,Chhattisgarh,492001,"Near Govt School, Market Area, Hirapur Rd Mahoba Bazar"
120,Hospital,Aarogyam Advanced Surgical Centre,Jalgaon,Maharashtra,425001,"Omkar Nagar,Telephone Exchange,Nr Parik Park,Jalgaon"
121,Hospital,Aarogyam Hospital,Yamunanagar,Haryana,135001,"Huda, Sector-18 Road, Jagadhri"
122,Hospital,Aarogyam Hospital,Thane,Maharashtra,421201,"Shripat Smruti Building,1St Floor, Star Colony, Manpadha Road,OppositeBank Of Baroda."
123,MultiSpeciality Hosp,Aarogyam Multispeciality Hospital - Thane,Thane,Maharashtra,400603,"Renuka Bldg,Opp: Mangla School,Above Bank Of Maharashtra,Kopari Thane ( E) Above Bank Of Maharashtra, Kopari, Thane"
124,Hospital,Aarogyam Speciality Hospital,Ahmedabad,Gujarat,380014,"Soham Complex, Opp Ganesh Tower Soham Complex, Opp Ganesh Tower Navrangapura"
125,Hospital,Aaroh Hospital,Rewari,Haryana,123401,"Opposite Jain Publichigh School, New Civil Hospital, Circular Road"
126,Hospital,Aarohi Arogya Kendra,Almora,Uttarakhand,263138,"Village- Satoli, P.O. Peora, Nainital"
127,Hospital,Aarokkiyaa Hospital,Thanjavur,Tamil Nadu,614804,"Sethu Road, Peravurani"
128,Hospital,Aaron Hospital,Kanniyakumari,Tamil Nadu,629157,Iv 677/6-44/C1 Periyakadai Road Paloor Karungal
129,Hospital,Aaroyha Mandir Hospital,Bengaluru Urban,Karnataka,560002,0
130,Hospital,Aarthi Hospital,Nagapattinam,Tamil Nadu,609001,"19, Avayambalpuram, Mayiladuthurai"
131,Hospital,Aarthi Hospital,Tuticorin,Tamil Nadu,628502,60 Santhai Pettai Street Kovilpatti
132,Hospital,Aarthi Scans,Chennai,Tamil Nadu,600018,"No 17 Cv Raman Road,"
133,Nurshing Home,Aarti Nursing Home,Panipat,Haryana,132103,Teshil Road
134,Nurshing Home,Aarti Surgical Nursing Home,Ahmedabad,Gujarat,380008,"3, Vinay Shopping Centre Maninagar"
135,Hospital,Aaruni Hospital Pvt Ltd,Rajkot,Gujarat,360001,Next To Holy Saint School Jaimal Parmar Marg Kalawad Road Rajkot
136,Hospital,Aarupadai Veedu Medical College,Puducherry,Puducherry,607402,"Pondy Cuddalore Main road,\nKirumam pakkam, Bahour Commune Panchayat, Puducherry."
137,Hospital,Aarupadai Veedu Medical College and Hospital,Puducherry,Puducherry,607402,Kirumampakkam
138,Hospital,Aarvy Hospital,Gurgaon,Haryana,122001,"530/18, Opp Nehru Stadium\nCivil Lines, Delhi- NCR"
139,Hospital,Aarvy Hospital -  / Aary Hospital,Gurgaon,Haryana,122001,"530/18 Civil Lines Opposite Nehru Stadium,Near Court"
140,MultiSpeciality Hosp,Aarya Multispecility Hospital and I C C U,Thane,Maharashtra,400708,"Skyline Residency, A 101 Plot 5, Sector 8, Kamothe,Navi Mumbai"
141,Hospital,Aarya Spiral Ct Scan Centre,Kaithal,Haryana,136027,Pehowa Road
142,Hospital,Aarya Swashthya Seva Sansthan,Nawada,Bihar,805110,Purani Jail Road
143,Hospital,Aaryan Institute Of Medical Science,Kachchh,Gujarat,370465,"Aims Hospital, Nr. Nava Naka, Swaminarayan Temple Road Opposite Brahmpuri Society"
144,Ortho Hospital,Aash Arthoscopy Centre,Ahmedabad,Gujarat,380007,"Sonal Nursing Home, Opposite Jalaram Mandir Shitalbaug, Paldi"
145,Ortho Hospital,Aash Arthroscopy Centre - Ahmedabad,Ahmedabad,Gujarat,380013,"Sonal Nursing Home, In Opposite Lane Of Jalaram Mandir, Paldi"
146,Hospital,Aash Surgical Hospital,Ahmedabad,Gujarat,380013,"1St Floor, Subhlaxmi Complex, Opposite Sanghvi School Naran Pura"
147,Hospital,Aasha Deep Hospital,Ghaziabad,Uttar Pradesh,201005,"Vandna Enclave, Khoda Colony,"
148,Hospital,Aasha Hospital,Junagadh,Gujarat,362265,"Near Kaveri Hotel,S.T. Road,Veraval"
149,Hospital,Aasha Hospital,Bengaluru Urban,Karnataka,560057,"No 11/2, Magadi Main Road,Agrahara Dasarahalli"
150,Hospital,Aasha Hospitals,Anantapur,Andhra Pradesh,515001,"7/201, Court Road Anantapur 515001  Anantapur"
151,Hospital,Aasha Medical And General Hospital,Sabar kantha,Gujarat,383315,"First Floor, Dadu Shopping Centre, Opp St Stand, Modasa"
152,Hospital,Aashaa The Right Direction,Vadodara,Gujarat,390001,Sanstha Vasahat Raopura
153,Hospital,Aashadeep Hospital,Sultanpur,Uttar Pradesh,228120,"Jaisinghpur Road, Barounsa,"
154,Nurshing Home,Aashi Nursing Home,Moradabad,Uttar Pradesh,202412,Subhash Road Chandausi
155,Hospital,Aashiana Hospital,Chennai,Tamil Nadu,600040,"No - 1201, 6th Avenue"
156,Hospital - Critical Care Dept,Aashirvad Paediatric Critical Care Centre,Vadodara,Gujarat,390004,"209,Silver Coin Complex,Opp Bhavanas Scholl"
157,Hospital,Aashirwaad Hospital,Muzaffarnagar,Uttar Pradesh,251002,"Sadar Bazar, Muzaffarnagar"
158,Hospital,Aashirwaad Medical Centre,Faridabad,Haryana,121006,"Sector-7 & 8, Dayalbagh Enclave"
159,Hospital,Aashirwad Hospital,Yamunanagar,Haryana,135002,"1, Jain Nagar, Opp Sapphire Hotel Jagadhri Road"
160,Hospital,Aashirwad Hospital,Nashik,Maharashtra,422008,Vasant Vyakhyanmala Maidan Behind Durga Mata Mandir Trimurti Chowk Cidco Nashik
161,Hospital,Aashirwad Hospital,Thane,Maharashtra,421306,"Om Shraddha Tower, Above Tdcc Bank,Poona Link Road, Tisgaon,Near Jarimari Gate"
162,Hospital,Aashirwad Hospital,Jalandhar,Punjab,144005,"Rama Mandi, Near Nangal Shama Chowk, Jallandhar Cantt, Jallandhar"
163,Hospital,Aashirwad Hospital,Sri Muktsar Sahib,Punjab,152026,"Bhatinda Road, Near Taran Taran Gurdwara Sahib, Sri Muktsar Sahib"
164,Hospital,Aashirwad Hospital,Nizamabad,Telangana,503003,"Saraswathi Nagar, Road No-2, Opp--Co-Opearative Bank Lane, Nizamabad"
165,Hospital,Aashirwad Hospital - Hoshangabad,Hoshangabad,Madhya Pradesh,461001,"Eshan Parishar, Iti Road, Hoshangabad Galla Mandi Ke Samne"
166,Hospital,Aashirwad Hospital And Research Centre,Jaunpur,Uttar Pradesh,222002,"Polythecnic Chorah, Varanasi Road (Krishi Bhawan Ke Samne )"
167,Nurshing Home,Aashirwad Nursing Home,Mumbai,Maharashtra,400064,"A-3, New Green Appt., Tilak Chowk, T.P.Road, Malad (W)"
168,Nurshing Home,Aashirwad Nursing Home,Ambala,Haryana,133001,"259, Mahesh Nagar, Ambala Cantt"
169,Nurshing Home,Aashirwad Nursing Home,Indore,Madhya Pradesh,452001,"17,Indralok Colony,R.T.O Road"
170,Nurshing Home,Aashirwad Surgical Hospital and Nursing Home,Ahmedabad,Gujarat,380005,"2nd Floor, Neelkamal Complex, Ramnagar"
171,Hospital,Aashish Hospital,Jabalpur,Madhya Pradesh,482001,"Homescience College Road,Nepiar Town,Jabalpur"
172,Ortho Hospital,Aashish Orthopeadic Hospital,Sabar kantha,Gujarat,383315,"Nr.Radhavihar Busstop,Modasa"
173,Nurshing Home,Aashna Nursing Home,Mumbai,Maharashtra,400053,"A-101, Ist Floor, Adity Sec. Opposite Versova Tel Exch"
174,Ortho Hospital,Aashna Orthopaedic Hospital,Ahmedabad,Gujarat,380058,"3Rd Floor, Arohi Arcade, Nr. Government Tube Well Bopal"
175,Nurshing Home,Aashray Nursing Home,Bhagalpur,Bihar,812001,"Tilkamanjhi, Haat Road"
176,Nurshing Home,Aashray Nursing Home,Vadodara,Gujarat,390013,"B-3/1 Shree Ambikaniketan Society,Nr. Fag Maneja Main Road"
177,Hospital,Aashray Surgical and Trauma Care,Ahmedabad,Gujarat,380058,"A-11, 1St Floor Gate No. 1, Bhavya Park"
178,Super Speciality Hospital,Aashritha Super Speciality Hospital,Ranga Reddy,Telangana,500076,"No. 4-100/2, M.V.Rama Rao Complex,Opposite Sai Towers,Mallapur Main Road"
179,ENT Hospital,Aashwi E.N.T. Hospital / Aashwt E.N.T Hospital,Ahmedabad,Gujarat,380015,"A-405, 406, Himalaya Aroade,OppositeVastrapur Lake,Vastrapur"
180,ENT Hospital,Aashwi E.N.T.Hospital,Ahmedabad,Gujarat,380015,"A/405-406, Himalaya Arcade, Opposite Vastrapur Lake, Vastrapur"
181,Hospital,Aastha Care,Bokaro,Jharkhand,827004,"Ja- 11, City Centre,Sector-4, Bakaro Steel City"
182,Hospital,Aastha Center For Geriatric Medicine,Lucknow,Uttar Pradesh,226006,"B - 52, J - Park Mahanagar"
183,Hospital,Aastha Health Care - Mumbai,Mumbai,Maharashtra,400082,"Mulund Colony, Opposite Chhedda Petrol Pump, Off L. B. S. Road, Mulund (West)"
184,Hospital - Critical Care Dept,"Aastha Heart,Critical Care Hospital and Ent Clinic",Sangrur,Punjab,148001,"Near Obc Bank,Backside Govt High School, Kc Road"
185,Hospital,Aastha Hospital,Darbhanga,Bihar,846001,"Vip Road, Bengalitola, Laheriasarai"
186,Hospital,Aastha Hospital,Nalanda,Bihar,803101,Mangla Asthan Rd.Ramchandra Pur Biharsharif
187,Hospital,Aastha Hospital,Durg,Chhattisgarh,491107,"Asha Complex, Near Patan Pool"
188,Hospital,Aastha Hospital,Ahmedabad,Gujarat,380008,"No. 403/4, Aishwarya Complex,2- Prakash Nagar Society,Opposite Shell Petrol Pump,Jawahar Chowk Maninagar"
189,Hospital,Aastha Hospital,Patan,Gujarat,385340,"Bhabhar 3 Road, Vinayaknagar,Radhanpur"
190,Hospital,Aastha Hospital,Palwal,Haryana,121102,"8, Abhinandan Lane, New Colony, Palwal"
191,Hospital,Aastha Hospital,Hisar,Haryana,125001,"81-S, Model Town"
192,Hospital,Aastha Hospital,Rohtak,Haryana,124001,Vikas Nagar
193,Hospital,Aastha Hospital,Yamunanagar,Haryana,135001,"Road, Jain Nagar Behind Mahendra Hospital,Near Sapphire Hotel"
194,Hospital,Aastha Hospital,Shimla,Himachal Pradesh,0,Panthaghati
195,Hospital,Aastha Hospital,Hamirpur,Himachal Pradesh,177001,"Pacca Bharo, Ward No.1, Krishna Nagar"
196,Hospital,Aastha Hospital,Indore,Madhya Pradesh,452001,"1118-19H, Sch No-114,Main Road, Near Awas Vihar, Indore"
197,Hospital,Aastha Hospital,Kolhapur,Maharashtra,416003,"Royal Pride Opp Hotel Gokul No. 350/1, Station Road,"
198,Hospital,Aastha Hospital,Thane,Maharashtra,401202,"104, New Krishna Housing Society, Near Dhuri Motors, Ambadi Road, Vasai(W)"
199,Hospital,Aastha Hospital,Ganjam,Odisha,760004,"Bhaba Nagar Square, Near Uti Atm Counter, New Bus Stand Road, Berhampur"
200,Hospital,Aastha Hospital,Firozpur,Punjab,152022,"Near Kohli School, Faridkoat Road Mandi Guruhar Sahai"
201,Hospital,Aastha Hospital,Moga,Punjab,142001,"Chakki Wali Gali, G.T. Road"
202,Hospital - Critical Care Dept,Aastha Hospital And Critical Care Centre,Thane,Maharashtra,421201,Tata Lane Joshi Wadi Dombivli - East Dombivli
203,Hospital,Aastha Hospital and Research Center,Jodhpur,Rajasthan,342003,"Paota, Main Mandore Road, Jodhpur"
204,Hospital,Aastha Hospital U/O S K Aastha Hospital Pvt Ltd,Jhajjar,Haryana,124507,"Main Najafgarh Road, Bahadurgarh"
205,Hospital,Aastha Intensive Care Centre,Dhule,Maharashtra,424001,"Opp Ramwadi, Malegaon Road, Dhule"
206,Kidney Care,Aastha Kidney and Super Speciality Hospital,Ludhiana,Punjab,141001,"Near Aarti Chowk, Krishna Nagar, Civil Lines, Ludhiana, Punjab.\n"
207,Kidney Care,Aastha Kidney Hospital,Ludhiana,Punjab,141001,"B-1, 1173/3-A, Brindaban Road, Shiv Mandir Chowk, Civil Lines, Ludhiana"
208,Kidney Care,Aastha Kidney Hospital,Ganganagar,Rajasthan,335001,"2-D-1, Sukharia Nagar, Sri Ganganagar"
209,Hospital,Aastha Medical Centre,Ghaziabad,Uttar Pradesh,201102,"159, K.I. Kavir Nagar"
